author,title,description,url,source,category,published_at,sentiment
bridger palmer,pine view high teacher wins best in state award for business leadership class,"st. george - kaitlyn larson, a first-year teacher at pine view high school, recently received the best in state award for a business leadership course. larson’s students in grades 10-12 had the highest passing rate on the youscience exam during the spring and fall semesters of 2023. the youscience exam is similar to final exams",https://www.stgeorgeutah.com/news/archive/2024/07/12/bdp-pine-view-high-teacher-wins-best-in-state-award-for-business-leadership-class/,Stgnews,business,2024-07-12,positive
staff reporter,businesses face financial strain amid liquidity crunch,"harare, zimbabwe - local businesses are grappling with a severe liquidity crunch, which is limiting",https://www.thezimbabwemail.com/business/businesses-face-financial-strain-amid-liquidity-crunch/,Zimbabwe Mail,business,2024-07-12,neutral
unknown,"musk donates to super pac working to elect trump, bloomberg reports","billionaire elon musk has donated to a super pac working to elect former u.s. president donald trump, bloomberg reported on friday, citing sources. the report did not indicate how much musk donated but added it was a sizable amount given to a group called america pac.",https://www.marketscreener.com/business-leaders/Elon-Musk-1364/news/Musk-donates-to-super-pac-working-to-elect-Trump-Bloomberg-reports--47374715/?utm_medium=RSS&utm_content=20240712,4-Traders,business,2024-07-12,positive
unknown,us ftc issues warning to franchisors over unfair business practices,"a u.s. trade regulator on fridayannounced a suite of actions taking aim at unfair and deceptivepractices it said are illegally imposed on u.s. franchisees bytheir brand owners, such as requiring new fees not outlined infranchise contracts, or using contract provisions to discouragefranchisees from speaking with regulators. the...",https://www.marketscreener.com/quote/stock/MCDONALD-S-CORPORATION-4833/news/US-FTC-issues-warning-to-franchisors-over-unfair-business-practices-47374706/?utm_medium=RSS&utm_content=20240712,4-Traders,business,2024-07-12,negative
unknown,rooftop solar's dark side,"4.5 million households in the u.s. have solar panels on their homes. most of those customers are happy with it - their electricity bills have just about disappeared, and it's great for the planet. but thousands and thousands of people are really disappointed with what they've been sold. their panels are more expensive than they should be, and they say it is hard to get someone to come fix them when they break. it turns out this sometimes crummy customer experience is no accident. it ties back to how big, national solar companies built their businesses in the first place. to entice people to...",https://www.npr.org/2024/07/12/1197961036/rooftop-solar-panels-energy-bills-marketing,Planet,business,2024-07-12,positive
unknown,gabelli asks paramount for details on national amusements valuation,"billionaire investor mario gabelli'sinvestment firm is seeking more details about the valuation ofnational amusements assets, the investor told reuters on friday, signaling the firm may challenge a landmark entertainmentindustry deal inked this week. skydance media and paramount global agreed onsunday to merge, in a deal that...",https://www.marketscreener.com/business-leaders/Mario-Gabelli-1709/news/Gabelli-asks-Paramount-for-details-on-National-Amusements-valuation--47374649/?utm_medium=RSS&utm_content=20240712,4-Traders,business,2024-07-12,positive
unknown,qwi investments : qwi) announcement re net asset value of shares,"july 12, 2024 5:08 pm qwi announces that at the close of business on 12 july 2024 the net asset value of qwi's shares was $1.32 per share. attachments original link ...",https://www.marketscreener.com/quote/stock/QWI-INVESTMENTS-LIMITED-134402695/news/QWI-INVESTMENTS-QWI-ANNOUNCEMENT-RE-NET-ASSET-VALUE-OF-SHARES-47374602/?utm_medium=RSS&utm_content=20240712,4-Traders,business,2024-07-12,positive
unknown,rome resources announces shareholder approval of arrangement with pathfinder minerals,"rome resources ltd. is pleased to announce that, at its special meeting of the holders of common shares held earlier today, rome shareholders approved a special resolution authorizing and approving the previously announced arrangement under section 288 of the business corporations act among rome, pathfinder minerals plc and 1475033 b.c....",https://www.marketscreener.com/quote/stock/ROME-RESOURCES-LTD-147174692/news/Rome-Resources-Announces-Shareholder-Approval-of-Arrangement-with-Pathfinder-Minerals-47374600/?utm_medium=RSS&utm_content=20240712,4-Traders,business,2024-07-12,positive
peter,fawcett accused of fronting scheme for hostile takeover,"business reporter a potentially bruising fight for gwanda-based gold producer vubachikwe is brewing after mine owners forbes & thompson accused one of the creditors, fawcett security operations, of trying to place the mine under corporate rescue as part of a plot to engineer a hostile takeover by london stock exchange-listed kavango resources. fawcett made an",https://www.chronicle.co.zw/fawcett-accused-of-fronting-scheme-for-hostile-takeover/,The Chronicle,business,2024-07-12,positive
unknown,what makes spynn publicity the top choice for australian businesses,"with creative strategies and deep industry knowledge, spynn publicity has established itself as a standout player in public relations.",https://www.ibtimes.com.au/what-makes-spynn-publicity-top-choice-australian-businesses-1849497,International Business Times Au,business,2024-07-12,positive
